snomedcode,snomedcode_count,term,include,RM_16category,RM_5 category,notes,,2021 Census Categories,,,,,,,,,,,,,
185988007,29448,Black Caribbean,1,Caribbean,4,,,,,,,,,,,,,,,,
270460000,3975,Black Caribbean/West India/Guyana,1,Caribbean,4,,,,,,,,,,,,,,,,
9.2691E+13,485,Caribbean Asian - ethnic category 2001 census,1,Caribbean,4,*or asian?,,,,,,,,,,,,,,,
309643000,457,Black West Indian,1,Caribbean,4,,,,,,,,,,,,,,,,
275592003,288,West Indian (NMO),1,Caribbean,4,*does this mean west indies?,,,,,,,,,,,,,,,
275591005,249,Caribbean Island (NMO),1,Caribbean,4,,,,,,,,,,,,,,,,
9.77811E+14,229,Black or African or Caribbean or Black British: Caribbean - Northern Ireland ethnic category 2011 census,1,Caribbean,4,,,,,,,,,,,,,,,,
270463003,146,Caribbean I./W.I./Guyana (NMO),1,Caribbean,4,,,,,,,,,,,,,,,,
9.78271E+14,112,"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British - Scotland ethnic category 2011 census",1,Caribbean,4,,,,,,,,,,,,,,,,
309644006,93,Black Guyana,1,Caribbean,4,,,,,,,,,,,,,,,,
275593008,78,Guyana (NMO),1,Caribbean,4,,,,,,,,,,,,,,,,
160531006,74,Race: West indian,1,Caribbean,4,,,,,,,,,,,,,,,,
9.2501E+13,47616,Other Black background - ethnic category 2001 census,1,Other Black,4,,,,,,,,,,,,,,,,
1.10791E+14,26393,Black British - ethnic category 2001 census,1,Other Black,4,,,,,,,,,,,,,,,,
185990008,15377,Black British,1,Other Black,4,,,,,,,,,,,,,,,,
315240009,15035,Black - ethnic group,1,Other Black,4,,,,,,,,,,,,,,,,
315279003,7722,Other black ethnic group,1,Other Black,4,,,,,,,,,,,,,,,,
9.2741E+13,4692,Other Black or Black unspecified - ethnic category 2001 census,1,Other Black,4,,,,,,,,,,,,,,,,
185998001,3979,"Black - other, mixed",1,Other Black,4,,,,,,,,,,,,,,,,
9.76891E+14,3187,Black or African or Caribbean or Black British: African - England and Wales ethnic category 2011 census,1,Other Black,4,,,,,,,,,,,,,,,,
185989004,2611,"Black, other, non-mixed origin",1,Other Black,4,,,,,,,,,,,,,,,,
9.2721E+13,2188,Mixed Black - ethnic category 2001 census,1,Other Black,4,,,,,,,,,,,,,,,,
9.76931E+14,1893,Black or African or Caribbean or Black British: other Black or African or Caribbean background - England and Wales ethnic category 2011 census,1,Other Black,4,,,,,,,,,,,,,,,,
9.76911E+14,1810,Black or African or Caribbean or Black British: Caribbean - England and Wales ethnic category 2011 census,1,Other Black,4,,,,,,,,,,,,,,,,
185999009,1785,Other Black - Black/White orig,1,Other Black,4,,,,,,,,,,,,,,,,
413465009,1322,Afro-Caribbean,1,Other Black,4,,,,,,,,,,,,,,,,
185993005,1278,Black - other African country,1,Other Black,4,,,,,,,,,,,,,,,,
186020007,967,"Other ethnic, Black/White origin",1,Other Black,4,,,,,,,,,,,,,,,,
186000006,533,Other Black - Black/Asian orig,1,Other Black,4,,,,,,,,,,,,,,,,
9.77831E+14,396,Black or African or Caribbean or Black British: other Black or African or Caribbean background - Northern Ireland ethnic category 2011 census,1,Other Black,4,,,,,,,,,,,,,,,,
185995003,292,Black Indian sub-continent,1,Other Black,4,,,,,,,,,,,,,,,,
